regionName,percentVisible,percentRadians,minRadians,maxRadians,color
Europe,0.0013,0.01,0,0.01,red
Mainland North America,0.049,0.31,0.01,0.32,brown
Caribbean,0.4721,2.97,0.32,3.28,orange
Spanish Mainland America,0.0523,0.33,3.28,3.61,black
Brazil,0.272,1.71,3.61,5.32,purple
Africa,0.0171,0.11,5.32,5.43,green
Unknown,0.1182,0.74,5.43,6.17,yellow
Other,0.0179,0.11,6.17,6.28,gray
